artist_name,artist_id,group,exhibition_id
Liu Xun,1,Star,1
Wang Keping,2,Star,1
Liuxun,3,Star,1
Ma DeSheng,4,Star,1
Qu Leile,5,Star,1
Li Shuang,6,Star,1
Zhang Wei,7,Star,1
 Zhang Wenxin,8,Star,1
Zhang Guangfu,9,Star,1
Zhang Hongnian,10,Star,1
Zhang Jiaxi,11,Star,1
Zhong Ming,12,Star,1
"Zhao Yixiong,",13,Star,1
Qin Yuanyue,14,Star,1
Chang Youming,15,Star,1
Yuan Yunsheng,16,Star,1
Yuan Yunfu,17,Star,1
Cao Dali,18,Star,1
Huang Li,19,Star,1
 Yan Zhenduo,20,Star,1
Fu Yuan,21,Star,1
Zhan Jianjun,22,Star,1
Ma Yunhong,23,Star,1
Wang Lu,24,Star,1
Wang Leifu,25,Star,1
Ye Wulin,26,Star,1
Qu Leilei,27,Star,1
Yan Li,28,Star,1
Bo Yun,29,Star,1
Fen Guodong,30,Star,1
Si Shangyi,31,Star,1
Liu Bingjiang,32,Star,1
Zhuang Yan,33,Star,1
Zhu Naizheng,34,Star,1
Quan Zhenghuan,35,Star,1
Xing Guozhen,36,Star,1
Pang Tao,37,Star,1
 Ji Cheng,38,Star,1
Li Huaji,39,Star,1
Li Yuchang,40,Star,1
Li Xiushi,41,Art Conference,
Chen Wei,42,Art Conference,
Wu Guanzhong,43,Art Conference,
Lin Gang,44,Art Conference,
Yang Yanping,45,Art Conference,
Li Shan,46,Art Conference,
Dai Hengyang,47,Art Conference,
Gao Minglu,48,Art Conference,
 Li Xiushi,49,Art Conference,
Zhang Zuying,50,Art Conference,
 Li Di,51,Art Conference,
Zhang Peili,52,Art Conference,
Shu Qun,53,Art Conference,
Shu Qun,53,North,
Shi Guo,54,Zhu Hai Conference ,2
Shi Panshi,55,Zhu Hai Conference ,2
Li Ziren,56,Zhu Hai Conference ,Zhu Hai Exhibition
Wu Liming,57,Zhu Hai Conference ,2
Tang Li,58,Zhu Hai Conference ,2
Ren Jian,59,North,3
Wang Guangyi,60,North,4
Lin Wei,61,North,5
Wang Yalin,62,North,6
Wang Haiyan,63,North,7
Wu Xiaoyun,64,North,8
Ren Rong,65,North,9
Xu Weide,66,Jiangsu,10
Zhou Guangfu ,67,Jiangsu,11
Xu Yihui,68,Jiangsu,12
Jiang Zhusong,69,Jiangsu,2
Shen Qin,70,Jiangsu,3
Guan Ce,71,Jiangsu,4
Ding Fang,72,Jiangsu,5
Chai Xiaogang,73,Jiangsu,6
Cao Xiaodong,74,Jiangsu,7
Yang Zhiling,75,Jiangsu,8
Xu Lei,76,Jiangsu,9
Chen Dali,77,Red,10
Shen Xingong,78,Red,11
Ding Fang,79,Red,12
 Guan Ce,80,Red,2
Liu Ming,81,Red,3
Cao Xiaodong,82,Red,4
Yu Qiping,83,Red,5
Chai Xiaogang,84,Red,6
Su Xianting,85,Red,7
Fang Jun,86,Red,8
Liu Wei,87,Red,9
Yang Zhilin,88,Red,10
Li Xiaobai,89,Red,11
Wu Guangrong,90,Red,12
Hong Lei,91,Red,2
Wu Weishan,92,Red,3
Wu Xiaojun,93,Red,4
Song Ansu,94,Red,5
Xin Shenhua,95,Red,6
Yu Shaoping,96,Red,7
Yu Bang,97,Red,8
Liu Guofu,98,Red,9
Lv Tao,99,Red,10
Geng Jianli,100,Red,11
Zhang Peili,,Pond,12
Song Lin,101,Pond,2
Bao Jianfei,102,Pond,3
Wang Qiang,103,Pond,4
Cha Li,104,Pond,5
Xu Jin,105,Pond,6
Cao Xuelei,106,Pond,7
Wang Guojun,107,Pond,8
Yu Youhan,108,Six People,9
Feng Lianghong ,109,Six People,10
Xiao Gu,110,Six People,11
Gong Jianqing,111,Six People,12
Wang Xiaojun,112,Six People,2
Yang Hui,113,Six People,3
Zhou Shilong,114,Six People,4
Yu Sen,115,AoTu,5
Zhang Jieming,116,AoTu,6
Wang Lianling,117,AoTu,7
Li Shan,,AoTu,8
Zhao Yifu,118,ab,9
Hong Jijie,119,ab,10
Chen Zhen,120,ab,11
Fang Zhuang,121,ab,12
Ye Mu,122,ab,2
Shen Fan,123,ab,3
Zhou Changjiang,124,ab,4
Mo Tuo,125,ab,5
Wang Hui,126,ab,6
Zhou Peide,127,ab,7
Song Haidong,128,ab,8
Xiao Xiaolan,129,ab,9
Lei Min,130,ab,10
Xu Hong,131,ab,11
Sun Liang,132,ab,12
Yu Jiangang,133,ab,2
Wu ShanZhuan,134,ab,3
Wu ShanZhuan etc.,135,ab,4
"Wu ShanZhuan,Ni Haifeng etc.",136,ab,5
Gu Wenda,137,ab,6
Wu Shaoxiang,138,ab,7
Xu Bing,139,ab,8
Wang Baichang,140,ab,9
Liu Xiangdong,141,ab,10
Cai Guoqiang,142,ab,11
Huang Yongping,143,ab,12
Mao Xuhui,144,ab,2
Zhang Xiaogang,145,ab,3
Ye Yongqing,146,ab,4
Pan Dehai,147,ab,5
Pu Liya,148,ab,6
Ding Defu,149,ab,7
Sun Guojuan,150,ab,8
Hou Wenyi,151,ab,9
Zhai Wei,152,ab,10
Yang Huangli,153,ab,11
Zhang Long,154,ab,12
Zhang Xiaping,155,ab,2
Sun Shifan,156,ab,3
Liu Quan,157,ab,4
Cao li,158,ab,5
Xia Xiaowan,159,ab,6
Liang Yuan,160,ab,7
Chen Qiang,161,ab,8
Li Baoying,162,ab,9
Liu Changshun,163,ab,10
Zhang Song,164,ab,11
Zhu Haikun,165,ab,12
Lin Chunyan,166,ab,2
Zhang Yibo,167,ab,3
Meng Luding,168,ab,4
Chen Dan,169,ab,5
Guan Wei,170,ab,6
Zhao Hui,171,ab,7
Chen Wenqi,172,ab,8
Zhang Qun,173,ab,9
Wang Youshen,174,ab,10
Jia Bo,175,ab,11
Sun Jianping,176,ab,12
Li Jin,177,ab,2
Yan Binghui,178,ab,3
Lv Peihuan,179,ab,4
Fan Bo,180,ab,5
Fu Zenan,181,ab,6
Fu Zewu,182,ab,7
Le Xiaoshi,183,ab,8
Ma Baokang,184,ab,9
Ma Xiaoxing,185,ab,10
