1,Scene of the First Stars Exhibition (1),Exhibition,First Stars Exhibition,,One,,"Beijing,Gate of National Art Museum",1979,17
2,Scene of the First Stars Exhibition (2),Exhibition,First Stars Exhibition,,Two,,"Beijing,Gate of National Art Museum",1979,17
3,"Scene of the First Stars Exhibition, 1979, audiences are watching Wang Keping's wood sculpture",Exhibition,First Stars Exhibition,,Wood sculpture,Wang Keping,"Beijing,Gate of National Art Museum",1979,18
4,"Scene of the First Stars Exhibition, 1979, Wang Keping's wood sculpture is visible in the background",Exhibition,First Stars Exhibition,,Wood sculpture,Wang Keping,"Beijing,Gate of National Art Museum",1979,18
5,"Scene of the First Stars Exhibition, 1979, Liu Xun is visiting the exhibition",Exhibition,First Stars Exhibition,,,Liuxun,"Beijing,Gate of National Art Museum",1979,18
6,"Protest of the Stars Group,1979,Beijing(Wang Keping is holding the logo)",Document,,,,Wang Keping,"Beijing,Gate of National Art Museum",1979,26
7,"Protest of the Stars Group,1979,Beijing(forth from left, Wang Keping is holding the logo)",Document,,,,Wang Keping,"Beijing,Gate of National Art Museum",1979,27
8,"Protest of the Stars Group,1979,Beijing(at front is Ma Desheng)",Document,,,,Ma DeSheng,"Beijing,Gate of National Art Museum",1979,27
9,"Protest of the Stars Group,1979,Beijing",Document,,,,,"Beijing,Gate of National Art Museum",1979,28
10,"Group Photo of the Stars outside the National Art Museum of China in Beijing,1980",Document,First Stars Exhibition,,,,"Beijing,Gate of National Art Museum",1979,31
11,"Stars Outdoor Exhibition, 1979, with Qu Leilei(first from left), Liu Xun, chairman of the Beijing Artists Association(second from left),Li Shuang(third from left),Wang Keping(fifth from left)",Exhibition,First Stars Exhibition,,,"Qu Leilei,Liu Xun,Li Shuang,Wang Keping","Beijing,Gate of National Art Museum",1979,32
12,"Group Photo of the Second Stars Exhibition Members in the National Art Museum of China in Beijing,1980, from left: Shi Jingsheng, Chen Yansheng, name unaviliable, Qu Leilei, Ma Desheng, Wang Keping, Beidao, Yang Yiping, Huang Rui, Bao Pao, Zhu Jinshi,1980 ",Document,,,,,"Beijing,Gate of National Art Museum",1979,32
