picture_id,Exhibition_Name,Work_Name,Artist_Name
1,First Stars Exhibition,,
2,First Stars Exhibition,,
3,First Stars Exhibition,,Wang Keping
4,First Stars Exhibition,,Wang Keping
5,First Stars Exhibition,,Liuxun
6,,,Wang Keping
7,,,Wang Keping
8,,,Ma DeSheng
9,,,
10,First Stars Exhibition,,
11,First Stars Exhibition,,"Qu Leilei,Liu Xun,Li Shuang,Wang Keping"
12,,,
13,Li Shuang First Individual Exhibition,Free Soul,Li Shuang
14,First Stars Exhibition,Silence,Wang Keping
15,First Stars Exhibition,Long Long Life,Wang Keping
16,First Stars Exhibition,My Motherland 2,Qu Leilei
17,First Stars Exhibition,My Motherland 3,Qu Leilei
18,First Stars Exhibition,My Motherland 4,Qu Leilei
19,First Stars Exhibition,My Motherland 5,Qu Leilei
20,First Stars Exhibition,My Motherland 6,Qu Leilei
21,First Stars Exhibition,My Motherland 7,Qu Leilei
22,First Stars Exhibition,Enigma of Motherland,Qu Leilei
23,First Stars Exhibition,Three Screens of Nude Women ,Ma DeSheng
24,First Stars Exhibition,Hard to Express,Yan Li
25,First Stars Exhibition,Sea Breeze,Bo Yun
26,,,"Yang Yanping, Zhang Wei, Zhang Wenxin? Zhang Guangfu, Zhang Hongnian, Zhang Jiaxi, Zhong Ming, Zhao Yixiong, Qin Yuanyue, Chang Youming, Yuan Yunsheng, Yuan Yunfu, Cao Dali, Huang Li, Yan Zhenduo, Fu Yuan, Zhan Jianjun, Ma Yunhong, Wang Lu, Wang Leifu, Ye Wulin, Fen Guodong,Si Shangyi, Liu Bingjiang, Zhuang Yan, Zhu Naizheng, Quan Zhenghuan? Xing Guozhen? Pang Tao, Ji Cheng, Li Huaji, Li Yuchang, Li Xiushi, Chen Wei, Wu Guanzhong, Lin Gang"
27,,,"Yang Yanping, Zhang Wei, Zhang Wenxin? Zhang Guangfu, Zhang Hongnian, Zhang Jiaxi, Zhong Ming, Zhao Yixiong, Qin Yuanyue, Chang Youming, Yuan Yunsheng, Yuan Yunfu, Cao Dali, Huang Li, Yan Zhenduo, Fu Yuan, Zhan Jianjun, Ma Yunhong, Wang Lu, Wang Leifu, Ye Wulin, Fen Guodong,Si Shangyi, Liu Bingjiang, Zhuang Yan, Zhu Naizheng, Quan Zhenghuan? Xing Guozhen? Pang Tao, Ji Cheng, Li Huaji, Li Yuchang, Li Xiushi, Chen Wei, Wu Guanzhong, Lin Gang"
28,,,"Li Shan, Dai Hengyang? Gao Minglu, Li Xiushi, Zhan Jianjun, Zhang Zuying, Li Di, Zhang Peili, Shu Qun, Cai Rong"
29,,,"Gao Minglu, Zhang Peili, Tang Qingnian, Zhu Qingsheng? Li Shan, Shu Qun "
30,,,"Shu Qun, Li Di, Zhang Peili, Gao Minglu, Dai Hengyang? Li Shan"
34,Zhu Hai Painting Institute First Exhibition,Actors,Shi Guo
35,Zhu Hai Painting Institute First Exhibition,Taotie,Shi Guo
36,Zhu Hai Painting Institute First Exhibition,Penetrate Each other,Shi Guo
37,Zhu Hai Painting Institute First Exhibition,Abyss,Shi Panshi
38,Zhu Hai Painting Institute First Exhibition,Girl Space No.3,Li Ziren
39,Zhu Hai Painting Institute First Exhibition,Girl Space No.4,Li Ziren
40,Zhu Hai Painting Institute First Exhibition,Girl Space No.5,Li Ziren
41,Zhu Hai Painting Institute First Exhibition,,Wu Liming
42,Zhu Hai Painting Institute First Exhibition,,Tang Li
43,Zhu Hai Painting Institute First Exhibition,,Tang Li
44,77,777 logo,Ren Jian
45,,777 logo,
46,,777,
47,,,
48,,,
49,,,
50,,,
51,,,
54,,Frozen North Pole  No.15,Wang Guangyi
55,,Frozen North Pole  No.20,Wang Guangyi
56,,Frozen North Pole  No.23,Wang Guangyi
57,,Frozen North Pole  No.25,Wang Guangyi
58,,Frozen North Pole: Philosophical Breakfast ,Wang Guangyi
59,,Post Classical: Era of Faith Medieval,Wang Guangyi
60,,Post Classical:The Return of Tragic Love,Wang Guangyi
61,,Post Classical: Cross Came Down,Wang Guangyi
62,,Black Rationality: Purgatory Analysis ,Wang Guangyi
63,,Post Classical: Holy Communion,Wang Guangyi
64,,Work No.3,Shu Qun
65,,Absolute Principle No.4,Shu Qun
66,,Absolute Principle ,Shu Qun
67,,Endless Road No.6,Shu Qun
68,,Legend of Sirius No.1,Ren Jian
69,,Legend of Sirius No.2,Ren Jian
70,,Legend of Sirius No.3,Ren Jian
71,,Legend of Sirius No.4,Ren Jian
72,,Legend of Sirius No.5,Ren Jian
73,,Legend of Sirius No.6,Ren Jian
74,,Legend of Sirius No.7,Ren Jian
75,,Legend of Sirius No.8,Ren Jian
76,,"Haven, Earth, and Hell No.1",Ren Jian
77,,"Haven, Earth, and Hell No.2",Ren Jian
78,,"Haven, Earth, and Hell No.3",Ren Jian
79,,"Haven, Earth, and Hell No.4",Ren Jian
80,,"Haven, Earth, and Hell No.5",Ren Jian
81,,Structure of Rouault No.1,Lin Wei
82,,Structure of Rouault No.2,Lin Wei
83,,Structure of Rouault No.3,Lin Wei
84,,Structure of Rouault No.4,Lin Wei
85,,Structure of Rouault No.5,Lin Wei
86,,Structure of Rouault No.6,Lin Wei
87,,Structure of Rouault No.7,Lin Wei
88,,Structure of Rouault No.8,Lin Wei
89,,Structure of Rouault No.9,Lin Wei
90,,Structure of Rouault No.10,Lin Wei
91,,Landscape,Wang Yalin
