work_id,work_name,work_material,artist_name,Year
1,777,,,1984
2,777 logo,,Ren Jian,1984
3,777 logo,,,1984
4,"About ""x?""",,Zhang Peili,1985
5,"About ""x?""",,Zhang Peili,1985
6,Absolute Principle ,oil on canvas,Shu Qun,1985
7,Absolute Principle No.4,oil on canvas,Shu Qun,1985
8,Abstract 1,,"Wu ShanZhuan,Ni Haifeng etc.",1987
9,Abstract 223,,Zhang Peili,1985
10,Abstract 230,,Zhang Peili,1985
11,Abstract 334,,Geng Jianli,1985
12,Abyss,oil on canvas,Shi Panshi,1986
13,Actors,ink,Shi Guo,1986
14,Amateur Painter,,Wang Qiang,1985
15,Another Judgement,,Wang Xiaojun,1985
16,Autumn,,Hong Lei,1986
17,Between 0 to 1,,Lei Min,1985
18,Big Wheel 1,,Xu Bing,1986
19,Big Wheel 2,,Xu Bing,1986
20,Birth,ink,Gu Wenda,1981
21,Birth,ink,Gu Wenda,1982
22,Black Oblivion,,Li Xiaobai,1986
23,Black Rationality: Purgatory Analysis ,oil on canvas,Wang Guangyi,1986
24,Body,,Gu Wenda,1982
25,Breeding,,Zhou Changjiang,1985
26,Breeze,,Wang Xiaojun,1985
27,Brown Book No.1,Performance,Zhang Peili,1988
28,Brown Book No.1,Performance,Zhang Peili,1988
29,Brown Book No.1,Performance,,1988
30,Call and Birth,,Ding Fang,1986
31,Cat's World,,Fang Zhuang,1983
32,Chair and People,,Shen Fan,1985
33,Changing Eternity,,Lv Tao,1986
34,Circle Series,,Yu Youhan,1986
35,City of the Dead,,Chai Xiaogang,1986
36,City Series 2,,Ding Fang,1984
37,City Series 3,,Ding Fang,1984
38,City Series 4,,Ding Fang,1984
39,Constellation,,Yang Zhilin,1986
40,Copy of Iron Scrap ,,Gong Jianqing,1985
41,Corrosive Laugh,,Xu Weide,1985
42,Creating Object,,Xiao Xiaolan,1985
43,Dangerous Chessboard  Leaves The Earth,,Gu Wenda,1987
44,Decline to Perspective,,Wang Guojun,1985
45,Deficit,,Wu ShanZhuan,1987
46,Deficit,,Wu ShanZhuan,1987
47,Deficit Today no Water,,Wu ShanZhuan,1987
48,Dialoge,,Xin Shenhua,1986
49,Dialogue,,Xu Jin,1985
50,Dinner 1,,Xu Yihui,1986
51,Dinner(2),oil on canvas,Xu Yihui,1986
52,Dog and Sky,,Wu Weishan,1986
53,Dun Huang,,Gu Wenda,1985
54,Eclipse,oil on canvas,Cao Xiaodong,1987
55,Encounter,,Li Shan,1983
56,Endless Road No.6,oil on canvas,Shu Qun,1986
57,Enigma of Motherland,Collage,Qu Leilei,1980
58,Exchange Scene 2,oil on canvas,Chai Xiaogang,1986
59,Facing Top of Taihang Eighteen Hairpin Bends,,Ding Fang,1983
60,Final Persue=Vain,,Jiang Zhusong,1985
61,Fish in Air,,Chai Xiaogang,1986
62,Floating Stone 1,,Chai Xiaogang,1986
63,Floating Stone 2,,Chai Xiaogang,1986
64,Flouting Wing,,Sun Liang,1986
65,Forest Series,,Wang Lianling,1986
66,Free Soul,1983 made in Beijing,Li Shuang,1984
67,Frozen North Pole  No.15,oil on canvas,Wang Guangyi,1985
68,Frozen North Pole  No.20,oil on canvas,Wang Guangyi,1985
69,Frozen North Pole  No.23,oil on canvas,Wang Guangyi,1985
70,Frozen North Pole  No.25,oil on canvas,Wang Guangyi,1985
71,Frozen North Pole: Philosophical Breakfast ,oil on canvas,Wang Guangyi,1985
72,Girl Space No.3,oil on canvas,Li Ziren,1986
73,Girl Space No.4,oil on canvas,Li Ziren,1986
74,Girl Space No.5,ink,Li Ziren,1986
75,Haircut 4--Fashinable Style in Summer in 1985,,Song Lin,1985
76,Halley,,Gong Jianqing,1985
77,Hard to Express,Oil ,Yan Li,1979
78,"Haven, Earth, and Hell No.1",oil on canvas,Ren Jian,1984
79,"Haven, Earth, and Hell No.2",oil on canvas,Ren Jian,1984
80,"Haven, Earth, and Hell No.3",oil on canvas,Ren Jian,1984
81,"Haven, Earth, and Hell No.4",oil on canvas,Ren Jian,1984
82,"Haven, Earth, and Hell No.5",oil on canvas,Ren Jian,1984
83,History of Civilization,,Gu Wenda,1983
84,Impression of Fastfood Restaurant,,Hong Jijie,1985
85,Indoor Landscape,,Guan Ce,1986
86,Introspection,,Cao Xuelei,1985
87,Landscape,,Wang Yalin,1985
88,Landscape,,Ding Fang,1984
89,Landscape,,Gu Wenda,1983
90,Landscape 1,,Ding Fang,1984
91,Landscape 2,,Ding Fang,1984
92,Legend of Sirius No.1,ink,Ren Jian,1984
93,Legend of Sirius No.2,ink,Ren Jian,1984
94,Legend of Sirius No.3,ink,Ren Jian,1984
95,Legend of Sirius No.4,ink,Ren Jian,1984
96,Legend of Sirius No.5,ink,Ren Jian,1984
97,Legend of Sirius No.6,ink,Ren Jian,1984
98,Legend of Sirius No.7,ink,Ren Jian,1984
99,Legend of Sirius No.8,ink,Ren Jian,1984
100,Long Long Life,Wood sculpture,Wang Keping,1978
101,Martyrdom,,Gu Wenda,1985
102,Mask No.2,Sculpture,Yu Sen,1985
103,Moment of Hallucination,,Chai Xiaogang,1986
104,Monster at Night 1,,Yang Zhilin,1986
105,Monster at Night 2,,Yang Zhilin,1986
106,Moon,ink,Gu Wenda,1982
107,Moon,,Gu Wenda,1982
108,Mountain 2,ink,Shen Qin,1986
109,Mountain 4,,Shen Qin,1986
110,Mountain 5,,Shen Qin,1986
111,My Motherland 2,Wood sculpture,Qu Leilei,1979
112,My Motherland 3,Wood sculpture,Qu Leilei,1979
113,My Motherland 4,Wood sculpture,Qu Leilei,1979
114,My Motherland 5,Wood sculpture,Qu Leilei,1979
